file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,0,4
style.css,2,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,45
style.css,3,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,18
style.css,4,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,17
style.css,5,css,c9f761cf,terantaon,2025-10-17,21:43:49,-07:00,2025-10-17T21:43:49-07:00,1,23
style.css,6,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,0,0
style.css,7,css,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,0,4
style.css,8,css,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,1,43
style.css,9,css,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,0,42
style.css,10,css,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,0,0
style.css,11,css,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,1,23
style.css,12,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,15
style.css,13,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,18
style.css,14,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,13
style.css,15,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,32
style.css,16,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,3
style.css,17,css,c9f761cf,terantaon,2025-10-17,21:43:49,-07:00,2025-10-17T21:43:49-07:00,2,39
style.css,18,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,12
style.css,19,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,17
style.css,20,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,23
style.css,21,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,25
style.css,22,css,c9f761cf,terantaon,2025-10-17,21:43:49,-07:00,2025-10-17T21:43:49-07:00,2,39
style.css,23,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,1
style.css,24,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,6
style.css,25,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,20
style.css,26,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,13
style.css,27,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,17
style.css,28,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,13
style.css,29,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,0
style.css,30,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,9
style.css,31,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,25
style.css,32,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,25
style.css,33,css,c9f761cf,terantaon,2025-10-17,21:43:49,-07:00,2025-10-17T21:43:49-07:00,3,39
style.css,34,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,20
style.css,35,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,0
style.css,36,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,7
style.css,37,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,4,25
style.css,38,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,4,25
style.css,39,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,4,39
style.css,40,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,4,20
style.css,41,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,0
style.css,42,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,43,css,c9f761cf,terantaon,2025-10-17,21:43:49,-07:00,2025-10-17T21:43:49-07:00,1,18
style.css,44,css,c9f761cf,terantaon,2025-10-17,21:43:49,-07:00,2025-10-17T21:43:49-07:00,2,17
style.css,45,css,c9f761cf,terantaon,2025-10-17,21:43:49,-07:00,2025-10-17T21:43:49-07:00,2,8
style.css,46,css,c9f761cf,terantaon,2025-10-17,21:43:49,-07:00,2025-10-17T21:43:49-07:00,2,10
style.css,47,css,c9f761cf,terantaon,2025-10-17,21:43:49,-07:00,2025-10-17T21:43:49-07:00,2,12
style.css,48,css,c9f761cf,terantaon,2025-10-17,21:43:49,-07:00,2025-10-17T21:43:49-07:00,2,13
style.css,49,css,c9f761cf,terantaon,2025-10-17,21:43:49,-07:00,2025-10-17T21:43:49-07:00,1,0
style.css,50,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,4
style.css,51,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,12
style.css,52,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,30
style.css,53,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,7
style.css,54,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,55,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,5
style.css,56,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,12
style.css,57,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,29
style.css,58,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,18
style.css,59,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,60,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,5
